"State","gunOwnership","totalGuns","Pop"
"Alaska","0.6170",15824,734002
"Arkansas","0.5790",79841,3038999
"Idaho","0.5690",49566,1826156
"West Virginia","0.5420",35264,1778070
"Wyoming","0.5380",132806,567025
"Montana","0.5230",22133,1086759
"New Mexico","0.4990",97580,2096640
"Alabama","0.4890",161641,4908621
"North Dakota","0.4790",13272,761723
"Hawaii","0.4510",7859,1412687
"Louisiana","0.4450",116831,4645184
"South Carolina","0.4440",105601,5210095
"Mississippi","0.4280",35494,2989260
"Kentucky","0.4240",81058,4499692
"Tennessee","0.3940",99159,6897576
"Nevada","0.3750",76888,3139658
"Minnesota","0.3670",79307,5700671
"Texas","0.3570",588696,29472295
"South Dakota","0.3500",21130,903027
"Wisconsin","0.3470",64878,5851754
"Colorado","0.3430",92435,5845526
"Iowa","0.3380",28494,3179849
"Indiana","0.3380",114019,6745354
"Florida","0.3250",343288,21992985
"Arizona","0.3230",179738,7378494
"Kansas","0.3220",52634,2910357
"Utah","0.3190",72856,3282115
"Georgia","0.3160",190050,10736059
"Oklahoma","0.3120",71269,3954821
"Virginia","0.2930",307822,8626207
"Vermont","0.2880",5872,628061
"Michigan","0.2880",65742,10045029
"North Carolina","0.2870",152238,10611862
"Washington","0.2770",91835,7797095
"Pennsylvania","0.2710",236377,12820878
"Missouri","0.2710",72995,6169270
"Oregon","0.2660",61383,4301089
"Illinois","0.2620",146487,12659682
"Massachusetts","0.2260",37152,6976597
"Maine","0.2260",15371,1345790
"Maryland","0.2070",103109,6083116
"California","0.2010",344622,39937489
"Nebraska","0.1980",22234,1952570
"Ohio","0.1960",173405,11747694
"Connecticut","0.1660",82400,3563077
"New Hampshire","0.1440",64135,1371246
"New Jersey","0.1130",57505,8936574
"New York","0.1030",76207,19440469
"Rhode Island","0.0580",4223,1056161
"Delaware","0.0520",4852,982895