state,gunOwnership,totalGuns,Pop
Alaska,0.617,15824,734002
Arkansas,0.579,79841,3038999
Idaho,0.569,49566,1826156
West Virginia,0.542,35264,1778070
Wyoming,0.538,132806,567025
Montana,0.523,22133,1086759
New Mexico,0.499,97580,2096640
Alabama,0.489,161641,4908621
North Dakota,0.479,13272,761723
Hawaii,0.451,7859,1412687
Louisiana,0.445,116831,4645184
South Carolina,0.444,105601,5210095
Mississippi,0.428,35494,2989260
Kentucky,0.424,81058,4499692
Tennessee,0.394,99159,6897576
Nevada,0.375,76888,3139658
Minnesota,0.367,79307,5700671
Texas,0.357,588696,29472295
South Dakota,0.35,21130,903027
Wisconsin,0.347,64878,5851754
Colorado,0.343,92435,5845526
Iowa,0.338,28494,3179849
Indiana,0.338,114019,6745354
Florida,0.325,343288,21992985
Arizona,0.323,179738,7378494
Kansas,0.322,52634,2910357
Utah,0.319,72856,3282115
Georgia,0.316,190050,10736059
Oklahoma,0.312,71269,3954821
Virginia,0.293,307822,8626207
Vermont,0.288,5872,628061
Michigan,0.288,65742,10045029
North Carolina,0.287,152238,10611862
Washington,0.277,91835,7797095
Pennsylvania,0.271,236377,12820878
Missouri,0.271,72995,6169270
Oregon,0.266,61383,4301089
Illinois,0.262,146487,12659682
Massachusetts,0.226,37152,6976597
Maine,0.226,15371,1345790
Maryland,0.207,103109,6083116
California,0.201,344622,39937489
Nebraska,0.198,22234,1952570
Ohio,0.196,173405,11747694
Connecticut,0.166,82400,3563077
New Hampshire,0.144,64135,1371246
New Jersey,0.113,57505,8936574
New York,0.103,76207,19440469
Rhode Island,0.058,4223,1056161
Delaware,0.052,4852,982895